spin,sidespin,Index,MAE,spin_x,spin_y,spin_z,rps
0,-5,0,0.0684980374470362,-265.33782081,-160.65756015,14.84201875,49.4240284841142
0,-4,1,0.0604010538955459,-208.87755388,-128.7951016,15.60707726,39.13451169706
0,-3,2,0.625759365709957,-164.97655648,-82.67984465,47.23523599,30.31656800495
0,-2,3,0.0358645889134632,-113.96673275,-58.33322151,21.97172398,20.6741827310743
0,-1,4,0.0231383256173618,-65.2066873,-32.05793261,14.37912264,11.7886253071513
0,0,5,0.0415693015283911,7.16617781,1.93825685,15.87637159,2.78939240860816
0,1,6,0.0231767442899779,57.95251998,34.95219683,34.12569421,12.0629721224915
0,2,7,0.0307646687484505,113.68523821,67.67834417,44.43168731,22.2127317612466
0,3,8,0.0180211684723895,145.49946177,89.50918062,58.68378531,28.7475302546378
0,4,9,0.035598946197526,211.77267036,128.72093019,53.01275895,40.3347406890124
1,-5,0,0.0376969927897383,-254.67693507,-161.05497654,-32.43505209,48.2349978652707
1,-4,1,0.0417719769058497,-199.25294737,-128.95668929,-22.30681277,37.9407354281628
1,-3,2,0.0605083338509356,-154.72916812,-98.06068436,-19.27378079,29.3158445202114
1,-2,3,0.147359568485367,-102.58954885,-73.53263917,-25.63447748,20.4987556854768
1,-1,4,0.0141958048559796,-49.07677908,-42.39082974,-26.75495574,11.1650798156054
1,0,5,0.010282826852369,7.1093418,-15.39014577,-43.50763932,7.43155427670805
1,1,6,0.0339318317519195,48.07540753,16.67178419,-36.27779403,9.94593804730336
1,2,7,0.0486640584751859,107.80577052,56.61088356,-64.19022635,21.9075270011155
1,3,8,0.0234340267670967,138.56197041,85.58500816,-8.80556686,25.9582401467348
1,4,9,0.0355586407505381,181.19804384,112.14399452,-12.43979408,33.972686071178
2,-5,0,0.0571650675775859,-186.18132144,-139.99901714,-110.25756108,41.0175171108068
2,-4,1,0.0494517557464585,-150.44416529,-126.24959925,-131.26497011,37.5965953756748
2,-3,2,0.0311396762456026,-109.99987883,-98.85667819,-141.23299734,32.5468456435064
2,-2,3,0.0528099138610742,-40.0803286,-47.7206409,-117.27617805,21.136707770031
2,-1,4,0.0261388548304882,-18.39538453,-38.58470119,-143.86042566,23.8854356713569
2,0,5,0.244022747168173,6.50529702,-16.87863703,-123.31328211,19.8359504450738
2,1,6,0.411349025537217,26.07760432,3.3245299,-130.38132638,21.1684356275703
2,2,7,0.245001236168469,83.93753624,36.92775521,-124.89058934,24.6596850598274
2,3,8,0.0250404780531828,104.24208351,45.58655704,-90.56391585,23.143979443492
2,4,9,0.0515015861266766,157.45078504,100.97381209,-95.91481445,33.4551534725967
3,-5,0,0.0972815072309455,-155.38930778,-150.71654181,-164.35413966,43.2578322508174
3,-4,1,0.0669293458588538,-124.78421119,-112.81561626,-203.45558885,42.0158919390767
3,-3,2,0.3693936899662,-66.83858048,-93.46603021,-194.34594588,35.9329572735513
3,-2,3,0.0341670789077965,-30.56722332,-68.94371366,-218.02945943,36.7177166084066
3,-1,4,0.0521377672417881,0.221606734,-34.6292009,-231.17072,37.2024917813784
3,0,5,0.428886538711442,15.7428127,-23.80332819,-225.22081685,36.1316252738602
3,1,6,0.0363787740870947,58.10772171,-1.36586429,-216.46468351,35.6717791478655
3,2,7,0.0725251172431449,57.0186399,15.61258757,-188.01573149,31.3679791070955
3,3,8,0.0446560495862789,107.48465891,61.172597,-171.84175911,33.6960102831502
3,4,9,0.0527075764708893,166.10766908,85.99391057,-162.0964445,39.3926867583367
4,-5,0,0.0528416915889923,-136.37270418,-149.2818345,-259.76077506,52.390326437211
4,-4,1,0.0555850125547946,-84.89852379,-105.13086933,-273.60684219,48.5672889031894
4,-3,2,0.0745955904382684,-44.50739176,-93.95835992,-277.94760983,47.2301391330442
4,-2,3,0.0826002116878837,-8.71354494,-54.84603542,-294.42792909,47.6859175969114
4,-1,4,0.441345037966683,16.13703548,-37.40932313,-267.54844239,43.0725237592886
4,0,5,0.0257181833172195,39.31135692,-21.41872304,-302.55155921,48.6768545226835
4,1,6,0.0691160548045711,39.35762582,-10.29425551,-278.43464821,44.7847552573495
4,2,7,0.0249119053937461,74.86191421,12.46753136,-278.63589825,45.9618173662308
4,3,8,0.0575771555194684,77.08833901,32.0728379,-271.2833547,45.1747610588361
4,4,9,0.0426439965330913,128.04374086,66.06674436,-235.53869443,43.9447782241147
5,-5,0,0.0543679850474944,-108.25866543,-126.76637726,-344.66641763,60.9346461674592
5,-4,1,0.19611720704096,-81.48090296,-123.54403839,-322.460818,56.4682200371862
5,-3,2,0.0951997962943237,-20.18758903,-77.32112888,-343.70375403,56.1612594547332
5,-2,3,0.133228065198591,-10.16590672,-65.67055464,-351.09676417,56.8708750806871
5,-1,4,0.457706891635397,19.67582604,-51.64599378,-363.77606736,58.5611200264113
5,0,5,0.12413349867515,36.89865294,-38.71164537,-355.5765677,57.2282751991932
5,1,6,0.17319431118882,48.42317896,-4.71908544,-374.75954891,60.1453654871657
5,2,7,0.417963605042573,75.45443575,3.40014832,-356.82098115,58.0481836815977
5,3,8,0.0619549251102391,97.51783318,29.42725682,-327.9581715,54.6558219964148
5,4,9,0.0800874008990616,120.86234965,47.7394872,-316.04625087,54.386296858459
6,-5,0,0.0652779286121309,-76.48404449,-143.59184787,-559.06630852,92.6691276860334
6,-4,1,0.181326153610519,-55.0658003,-132.14688986,-555.63281381,91.3198370164058
6,-3,2,0.168412705262746,-53.32581268,-109.04274093,-565.80378328,92.0994167346111
6,-2,3,0.0739117444101971,-15.11852938,-68.56444124,-583.77652061,93.5804916159641
6,-1,4,0.186538213318877,-0.80275102,-57.79887767,-570.35099413,91.239187082663
6,0,5,0.158571521161434,27.09064595,-48.32948185,-566.32055024,90.5630235874005
6,1,6,0.0758671253875104,48.01653582,-39.34056159,-579.05848785,92.6880457112291
6,2,7,0.0881972890948297,105.6047704,3.73401673,-563.26250454,91.209941282139
6,3,8,0.114229379545491,105.26930655,-4.46501437,-573.80066034,92.8500663996334
6,4,9,0.0961578706157499,126.556221,0.46084622,-562.836966,91.8149043890461
7,-5,0,0.0712684134036292,-80.21602697,-163.52255558,-815.92684602,133.054946461033
